|                                              Func	     Calls	       Total	         Max	         Avr|
|               cubesvr::IInnerGameworld::GetBlocks	    498145	    6.256874	    0.000598	    0.000013|
|                            CubeGameWorld::Execute	    157537	   56.218088	    0.050133	    0.000357|
|                              ProcessAccessMessage	    157740	    0.067614	    0.000269	    0.000000|
|                               GameMachine_Execute	    157740	   55.380809	    0.041308	    0.000351|
|         cubesvr::CCubeworldStateMachaine::Execute	    157740	   55.262177	    0.041307	    0.000350|
|cubesvr::CCubeworldStateMachaine::SaveHelper::CheckSave	    157740	    0.047446	    0.003041	    0.000000|
|                                   CheckSave Logic	        11	    0.025394	    0.003040	    0.002309|
|             CubeGameWorld::UpdateListenPlayerPosi	    157537	    6.918164	    0.057388	    0.000044|
|                                    DTW_LOAD_GROUP	      1127	    0.003785	    0.000134	    0.000003|
|                                   ATW_APPLY_CHUNK	      4129	    0.140998	    0.003390	    0.000034|
|                ATW_COMPRESS_MODIFICATION_RESPONSE	        22	    0.000373	    0.000037	    0.000017|
|                   cubesvr::IInnerGameworld::Trace	         6	    0.043300	    0.043291	    0.007217|
